,Organisation,Scan Date,Scan Point Name,Scan Reference,Supplier Name,Product,Expiration Date,Quantity
77,Notuv - Denk Pharma,2021-07-17 22:55:52,DMO_1001000,1702,WHO,Metformin,2022-04-03 08:00:00,58
78,Notuv - Denk Pharma,2021-07-18 03:18:49,DMO_1001000,1709,Red Cross,Metformin,2021-12-10 08:00:00,93
79,Notuv - Denk Pharma,2021-07-18 04:23:33,DMO_1001000,4857,WHO,Metformin,2023-04-16 08:00:00,18
80,Notuv - Denk Pharma,2021-07-18 20:39:50,DMO_1001000,2511,WHO,Metformin,2021-11-12 08:00:00,45
81,Notuv - Denk Pharma,2021-07-18 21:59:54,DMO_1001000,2671,Bill Gates Foundation,Metformin,2022-10-18 08:00:00,50
82,Notuv - Denk Pharma,2021-07-19 00:35:41,DMO_1001000,2686,Red Cross,Metformin,2022-02-17 08:00:00,28
83,Notuv - Denk Pharma,2021-07-19 01:11:25,DMO_1001000,1282,Bill Gates Foundation,Metformin,2023-03-09 08:00:00,104
84,Notuv - Denk Pharma,2021-07-19 05:11:13,DMO_1001000,2363,Bill Gates Foundation,Metformin,2022-05-17 08:00:00,1
85,Notuv - Denk Pharma,2021-07-19 09:04:17,DMO_1001000,4479,Bill Gates Foundation,Metformin,2022-04-19 08:00:00,141
86,Notuv - Denk Pharma,2021-07-19 15:22:46,DMO_1001000,4628,WHO,Metformin,2022-07-24 08:00:00,1
87,Notuv - Denk Pharma,2021-07-20 03:54:14,DMO_1001000,1602,WHO,Metformin,2023-05-21 08:00:00,94
88,Notuv - Denk Pharma,2021-07-20 04:52:16,DMO_1001000,2073,Bill Gates Foundation,Metformin,2023-06-09 08:00:00,1
89,Notuv - Denk Pharma,2021-07-20 06:33:44,DMO_1001000,4581,Bill Gates Foundation,Metformin,2023-02-21 08:00:00,35
90,Notuv - Denk Pharma,2021-07-20 13:18:48,DMO_1001000,3628,WHO,Metformin,2022-10-12 08:00:00,63
91,Notuv - Denk Pharma,2021-07-21 05:57:56,DMO_1001000,1837,Red Cross,Metformin,2023-01-09 08:00:00,40
92,Notuv - Denk Pharma,2021-07-21 08:58:10,DMO_1001000,3144,Red Cross,Metformin,2022-04-18 08:00:00,27
93,Notuv - Denk Pharma,2021-07-21 13:29:53,DMO_1001000,2453,Bill Gates Foundation,Metformin,2022-09-14 08:00:00,6
94,Notuv - Denk Pharma,2021-07-21 16:14:32,DMO_1001000,4459,Bill Gates Foundation,Metformin,2022-07-03 08:00:00,39
95,Notuv - Denk Pharma,2021-07-21 20:40:37,DMO_1001000,4219,WHO,Metformin,2022-07-03 08:00:00,3
96,Notuv - Denk Pharma,2021-07-22 01:30:03,DMO_1001000,1856,WHO,Metformin,2022-02-10 08:00:00,66
97,Notuv - Denk Pharma,2021-07-22 09:13:22,DMO_1001000,3339,Red Cross,Metformin,2022-04-26 08:00:00,149
98,Notuv - Denk Pharma,2021-07-22 10:04:05,DMO_1001000,1074,WHO,Metformin,2022-04-04 08:00:00,106
99,Notuv - Denk Pharma,2021-07-22 14:50:50,DMO_1001000,2795,WHO,Metformin,2023-05-08 08:00:00,59
100,Notuv - Denk Pharma,2021-07-23 06:37:43,DMO_1001000,3939,Bill Gates Foundation,Metformin,2022-12-23 08:00:00,25
101,Notuv - Denk Pharma,2021-07-23 09:35:33,DMO_1001000,2113,Bill Gates Foundation,Metformin,2023-03-21 08:00:00,53
102,Notuv - Denk Pharma,2021-07-23 11:40:40,DMO_1001000,4555,Red Cross,Metformin,2022-01-18 08:00:00,28
103,Notuv - Denk Pharma,2021-07-23 13:21:02,DMO_1001000,2475,Bill Gates Foundation,Metformin,2022-02-05 08:00:00,66
104,Notuv - Denk Pharma,2021-07-23 21:00:28,DMO_1001000,4452,Bill Gates Foundation,Metformin,2022-01-21 08:00:00,24
105,Notuv - Denk Pharma,2021-07-23 23:25:03,DMO_1001000,4309,WHO,Metformin,2022-11-09 08:00:00,119
106,Notuv - Denk Pharma,2021-07-24 03:34:33,DMO_1001000,2717,WHO,Metformin,2022-06-23 08:00:00,65
107,Notuv - Denk Pharma,2021-07-24 07:00:21,DMO_1001000,4351,Bill Gates Foundation,Metformin,2022-03-14 08:00:00,1
108,Notuv - Denk Pharma,2021-07-24 09:32:08,DMO_1001000,2362,Bill Gates Foundation,Metformin,2023-03-06 08:00:00,91
109,Notuv - Denk Pharma,2021-07-24 10:13:18,DMO_1001000,1981,WHO,Metformin,2023-01-20 08:00:00,135
110,Notuv - Denk Pharma,2021-07-24 14:44:58,DMO_1001000,4872,Red Cross,Metformin,2022-03-16 08:00:00,1
111,Notuv - Denk Pharma,2021-07-24 16:31:45,DMO_1001000,1021,Bill Gates Foundation,Metformin,2023-05-08 08:00:00,129
112,Notuv - Denk Pharma,2021-07-24 23:08:08,DMO_1001000,3185,Red Cross,Metformin,2023-07-18 08:00:00,40
113,Notuv - Denk Pharma,2021-07-25 05:23:00,DMO_1001000,3870,Red Cross,Metformin,2023-02-04 08:00:00,113
114,Notuv - Denk Pharma,2021-07-25 06:38:17,DMO_1001000,2669,WHO,Metformin,2022-01-13 08:00:00,138
115,Notuv - Denk Pharma,2021-07-25 07:36:10,DMO_1001000,3971,Red Cross,Metformin,2023-01-29 08:00:00,6
116,Notuv - Denk Pharma,2021-07-25 12:50:42,DMO_1001000,2547,Bill Gates Foundation,Metformin,2022-02-25 08:00:00,108
117,Notuv - Denk Pharma,2021-07-25 19:23:16,DMO_1001000,3758,Red Cross,Metformin,2022-03-05 08:00:00,1
118,Notuv - Denk Pharma,2021-07-25 19:45:53,DMO_1001000,4624,WHO,Metformin,2022-03-19 08:00:00,1
119,Notuv - Denk Pharma,2021-07-25 23:53:46,DMO_1001000,4503,Red Cross,Metformin,2022-09-08 08:00:00,1
120,Notuv - Denk Pharma,2021-07-26 01:01:37,DMO_1001000,1321,WHO,Metformin,2022-07-12 08:00:00,1
121,Notuv - Denk Pharma,2021-07-26 17:15:15,DMO_1001000,1014,Red Cross,Metformin,2022-10-17 08:00:00,61
122,Notuv - Denk Pharma,2021-07-26 21:02:16,DMO_1001000,4009,WHO,Metformin,2022-05-02 08:00:00,1
123,Notuv - Denk Pharma,2021-07-26 21:12:58,DMO_1001000,4661,WHO,Metformin,2023-02-19 08:00:00,197
124,Notuv - Denk Pharma,2021-07-27 05:20:39,DMO_1001000,1960,Red Cross,Metformin,2023-06-09 08:00:00,61
125,Notuv - Denk Pharma,2021-07-27 12:40:56,DMO_1001000,2604,Bill Gates Foundation,Metformin,2023-04-22 08:00:00,33
126,Notuv - Denk Pharma,2021-07-27 22:10:11,DMO_1001000,2437,Red Cross,Metformin,2023-05-14 08:00:00,67
127,Notuv - Denk Pharma,2021-07-28 02:09:03,DMO_1001000,1372,Red Cross,Metformin,2023-03-23 08:00:00,110
128,Notuv - Denk Pharma,2021-07-28 05:32:04,DMO_1001000,3756,Bill Gates Foundation,Metformin,2022-08-16 08:00:00,97
129,Notuv - Denk Pharma,2021-07-28 06:11:11,DMO_1001000,4338,WHO,Metformin,2022-04-25 08:00:00,60
130,Notuv - Denk Pharma,2021-07-28 12:55:02,DMO_1001000,3858,Red Cross,Metformin,2022-09-12 08:00:00,96
131,Notuv - Denk Pharma,2021-07-28 14:08:32,DMO_1001000,1092,Bill Gates Foundation,Metformin,2022-10-14 08:00:00,35
132,Notuv - Denk Pharma,2021-07-28 15:07:32,DMO_1001000,2509,WHO,Metformin,2023-04-20 08:00:00,62
133,Notuv - Denk Pharma,2021-07-28 15:30:21,DMO_1001000,1365,WHO,Metformin,2023-07-19 08:00:00,77
134,Notuv - Denk Pharma,2021-07-29 17:30:00,DMO_1001000,2475,Bill Gates Foundation,Metformin,2023-01-22 08:00:00,194
135,Notuv - Denk Pharma,2021-07-29 18:13:39,DMO_1001000,3207,Red Cross,Metformin,2021-11-09 08:00:00,59
136,Notuv - Denk Pharma,2021-07-29 19:06:53,DMO_1001000,1718,WHO,Metformin,2022-04-04 08:00:00,1
137,Notuv - Denk Pharma,2021-07-30 01:16:04,DMO_1001000,1362,WHO,Metformin,2022-12-02 08:00:00,105
138,Notuv - Denk Pharma,2021-07-30 18:05:58,DMO_1001000,3978,WHO,Metformin,2022-06-30 08:00:00,159
139,Notuv - Denk Pharma,2021-07-30 20:19:10,DMO_1001000,1423,WHO,Metformin,2021-12-14 08:00:00,79
140,Notuv - Denk Pharma,2021-07-30 21:13:01,DMO_1001000,2727,WHO,Metformin,2022-12-31 08:00:00,1
141,Notuv - Denk Pharma,2021-07-31 00:37:34,DMO_1001000,1188,Red Cross,Metformin,2022-04-10 08:00:00,1
142,Notuv - Denk Pharma,2021-07-31 02:28:10,DMO_1001000,4904,WHO,Metformin,2021-12-14 08:00:00,50
143,Notuv - Denk Pharma,2021-07-31 13:54:17,DMO_1001000,3003,Bill Gates Foundation,Metformin,2023-07-11 08:00:00,32
144,Notuv - Denk Pharma,2021-07-31 21:27:55,DMO_1001000,4068,Bill Gates Foundation,Metformin,2022-12-17 08:00:00,1
145,Notuv - Denk Pharma,2021-08-01 02:32:30,DMO_1001000,1656,Red Cross,Metformin,2022-01-18 08:00:00,51
146,Notuv - Denk Pharma,2021-08-01 08:07:20,DMO_1001000,1975,Bill Gates Foundation,Metformin,2022-10-09 08:00:00,101
147,Notuv - Denk Pharma,2021-08-01 12:10:47,DMO_1001000,4828,Red Cross,Metformin,2022-07-28 08:00:00,17
148,Notuv - Denk Pharma,2021-08-01 16:04:39,DMO_1001000,2458,WHO,Metformin,2023-07-13 08:00:00,46
149,Notuv - Denk Pharma,2021-08-01 18:12:35,DMO_1001000,2126,Bill Gates Foundation,Metformin,2022-10-16 08:00:00,1
150,Notuv - Denk Pharma,2021-08-01 22:45:13,DMO_1001000,4216,Bill Gates Foundation,Metformin,2022-03-27 08:00:00,1
151,Notuv - Denk Pharma,2021-08-02 02:52:42,DMO_1001000,3954,Bill Gates Foundation,Metformin,2022-08-09 08:00:00,1
152,Notuv - Denk Pharma,2021-08-02 02:59:19,DMO_1001000,4195,Bill Gates Foundation,Metformin,2023-05-30 08:00:00,113
153,Notuv - Denk Pharma,2021-08-02 22:54:55,DMO_1001000,4359,Bill Gates Foundation,Metformin,2023-01-07 08:00:00,81
154,Notuv - Denk Pharma,2021-08-03 02:30:19,DMO_1001000,3075,Red Cross,Metformin,2022-10-14 08:00:00,53
155,Notuv - Denk Pharma,2021-08-03 03:41:12,DMO_1001000,3159,WHO,Metformin,2022-05-13 08:00:00,116
156,Notuv - Denk Pharma,2021-08-03 06:09:20,DMO_1001000,1702,WHO,Metformin,2023-04-20 08:00:00,21
157,Notuv - Denk Pharma,2021-08-03 10:58:47,DMO_1001000,4674,WHO,Metformin,2022-07-03 08:00:00,72
158,Notuv - Denk Pharma,2021-08-03 14:56:44,DMO_1001000,1142,Red Cross,Metformin,2022-03-15 08:00:00,130
159,Notuv - Denk Pharma,2021-08-03 20:57:45,DMO_1001000,2752,Red Cross,Metformin,2022-04-26 08:00:00,23
160,Notuv - Denk Pharma,2021-08-04 05:04:11,DMO_1001000,1817,WHO,Metformin,2023-03-30 08:00:00,72
161,Notuv - Denk Pharma,2021-08-04 22:47:57,DMO_1001000,1271,Bill Gates Foundation,Metformin,2023-05-10 08:00:00,45
162,Notuv - Denk Pharma,2021-08-05 04:40:30,DMO_1001000,2517,WHO,Metformin,2022-04-27 08:00:00,103
163,Notuv - Denk Pharma,2021-08-05 19:59:42,DMO_1001000,4573,WHO,Metformin,2023-04-15 08:00:00,30
164,Notuv - Denk Pharma,2021-08-06 02:57:42,DMO_1001000,2909,WHO,Metformin,2022-03-10 08:00:00,1
165,Notuv - Denk Pharma,2021-08-06 06:46:33,DMO_1001000,2575,Bill Gates Foundation,Metformin,2023-03-13 08:00:00,72
166,Notuv - Denk Pharma,2021-08-06 19:30:49,DMO_1001000,3284,WHO,Metformin,2023-03-09 08:00:00,21
167,Notuv - Denk Pharma,2021-08-07 01:02:23,DMO_1001000,4294,Bill Gates Foundation,Metformin,2023-03-29 08:00:00,85
168,Notuv - Denk Pharma,2021-08-07 01:43:25,DMO_1001000,4728,Red Cross,Metformin,2023-01-13 08:00:00,1
169,Notuv - Denk Pharma,2021-08-07 23:44:51,DMO_1001000,3680,Red Cross,Metformin,2022-12-15 08:00:00,81
170,Notuv - Denk Pharma,2021-08-08 05:34:36,DMO_1001000,3820,Red Cross,Metformin,2022-08-17 08:00:00,76
171,Notuv - Denk Pharma,2021-08-08 06:55:34,DMO_1001000,2217,WHO,Metformin,2022-04-16 08:00:00,1
172,Notuv - Denk Pharma,2021-08-08 08:02:24,DMO_1001000,4785,Bill Gates Foundation,Metformin,2022-09-04 08:00:00,1
173,Notuv - Denk Pharma,2021-08-08 16:41:57,DMO_1001000,3843,Red Cross,Metformin,2022-06-13 08:00:00,63
174,Notuv - Denk Pharma,2021-08-09 06:12:21,DMO_1001000,3256,WHO,Metformin,2023-06-23 08:00:00,109
175,Notuv - Denk Pharma,2021-08-09 07:47:38,DMO_1001000,1482,Bill Gates Foundation,Metformin,2021-11-08 08:00:00,11
176,Notuv - Denk Pharma,2021-08-09 09:42:08,DMO_1001000,1323,Red Cross,Metformin,2023-07-17 08:00:00,184
177,Notuv - Denk Pharma,2021-08-09 16:08:02,DMO_1001000,2100,Bill Gates Foundation,Metformin,2022-11-25 08:00:00,85
178,Notuv - Denk Pharma,2021-08-09 18:25:13,DMO_1001000,3184,WHO,Metformin,2022-12-13 08:00:00,9
179,Notuv - Denk Pharma,2021-08-09 19:34:06,DMO_1001000,4752,Bill Gates Foundation,Metformin,2022-03-31 08:00:00,48
180,Notuv - Denk Pharma,2021-08-09 21:16:20,DMO_1001000,4379,WHO,Metformin,2022-10-06 08:00:00,26
181,Notuv - Denk Pharma,2021-08-10 01:59:11,DMO_1001000,3901,Bill Gates Foundation,Metformin,2022-08-20 08:00:00,129
182,Notuv - Denk Pharma,2021-08-10 06:39:19,DMO_1001000,2326,WHO,Metformin,2023-05-05 08:00:00,29
183,Notuv - Denk Pharma,2021-08-10 15:58:51,DMO_1001000,4677,Bill Gates Foundation,Metformin,2022-01-25 08:00:00,192
184,Notuv - Denk Pharma,2021-08-10 17:30:46,DMO_1001000,2504,Red Cross,Metformin,2022-03-25 08:00:00,1
185,Notuv - Denk Pharma,2021-08-11 10:44:42,DMO_1001000,3711,Bill Gates Foundation,Metformin,2023-04-01 08:00:00,49
186,Notuv - Denk Pharma,2021-08-11 18:22:12,DMO_1001000,1787,WHO,Metformin,2023-06-09 08:00:00,63
187,Notuv - Denk Pharma,2021-08-12 07:24:50,DMO_1001000,3014,Bill Gates Foundation,Metformin,2021-12-17 08:00:00,103
188,Notuv - Denk Pharma,2021-08-12 10:07:52,DMO_1001000,2148,Red Cross,Metformin,2021-11-16 08:00:00,73
189,Notuv - Denk Pharma,2021-08-13 01:24:18,DMO_1001000,1515,WHO,Metformin,2022-02-02 08:00:00,99
190,Notuv - Denk Pharma,2021-08-14 02:34:37,DMO_1001000,4760,Bill Gates Foundation,Metformin,2022-09-08 08:00:00,27
191,Notuv - Denk Pharma,2021-08-14 07:07:02,DMO_1001000,3000,Red Cross,Metformin,2022-11-25 08:00:00,142
192,Notuv - Denk Pharma,2021-08-14 07:29:21,DMO_1001000,4307,WHO,Metformin,2023-04-19 08:00:00,46
193,Notuv - Denk Pharma,2021-08-14 07:51:52,DMO_1001000,4171,Bill Gates Foundation,Metformin,2021-11-23 08:00:00,114
194,Notuv - Denk Pharma,2021-08-14 09:30:36,DMO_1001000,1107,Bill Gates Foundation,Metformin,2022-07-11 08:00:00,1
195,Notuv - Denk Pharma,2021-08-14 14:32:41,DMO_1001000,1569,WHO,Metformin,2021-12-30 08:00:00,1
196,Notuv - Denk Pharma,2021-08-16 09:45:27,DMO_1001000,1375,WHO,Metformin,2022-10-10 08:00:00,93
197,Notuv - Denk Pharma,2021-08-16 12:40:01,DMO_1001000,3988,Bill Gates Foundation,Metformin,2022-12-31 08:00:00,30
198,Notuv - Denk Pharma,2021-08-16 21:56:23,DMO_1001000,4667,Bill Gates Foundation,Metformin,2022-05-21 08:00:00,42
199,Notuv - Denk Pharma,2021-08-16 22:16:30,DMO_1001000,1805,Red Cross,Metformin,2022-08-24 08:00:00,165
200,Notuv - Denk Pharma,2021-08-17 09:33:38,DMO_1001000,1049,Bill Gates Foundation,Metformin,2022-02-11 08:00:00,252
201,Notuv - Denk Pharma,2021-08-17 10:11:52,DMO_1001000,3306,WHO,Metformin,2022-04-13 08:00:00,9
202,Notuv - Denk Pharma,2021-08-17 12:11:23,DMO_1001000,3249,Red Cross,Metformin,2021-12-05 08:00:00,1
203,Notuv - Denk Pharma,2021-08-17 14:38:07,DMO_1001000,3474,WHO,Metformin,2022-07-19 08:00:00,1
204,Notuv - Denk Pharma,2021-08-17 20:29:43,DMO_1001000,3319,WHO,Metformin,2022-08-05 08:00:00,73
205,Notuv - Denk Pharma,2021-08-17 23:30:37,DMO_1001000,1251,Red Cross,Metformin,2022-02-07 08:00:00,29
206,Notuv - Denk Pharma,2021-08-18 03:29:05,DMO_1001000,3088,Bill Gates Foundation,Metformin,2022-07-27 08:00:00,46
207,Notuv - Denk Pharma,2021-08-18 09:28:05,DMO_1001000,4662,WHO,Metformin,2023-06-15 08:00:00,70
208,Notuv - Denk Pharma,2021-08-18 23:14:42,DMO_1001000,4617,WHO,Metformin,2022-06-28 08:00:00,57
209,Notuv - Denk Pharma,2021-08-19 05:03:47,DMO_1001000,4730,Red Cross,Metformin,2023-07-14 08:00:00,95
