Organisation,Scan Date,Scan Point Name,Scan Reference,Supplier Name,Product,Expiration Date,Quantity
Notuv - Denk Pharma,2021-08-10 13:18:26,DMO_1001000,3922,WHO,Metformin,2022-12-27 08:00:00,27
Notuv - Denk Pharma,2021-08-10 18:47:19,DMO_1001000,2661,WHO,Metformin,2022-06-09 08:00:00,1
Notuv - Denk Pharma,2021-08-11 06:24:53,DMO_1001000,2632,Bill Gates Foundation,Metformin,2022-08-01 08:00:00,15
Notuv - Denk Pharma,2021-08-11 07:02:15,DMO_1001000,2493,Bill Gates Foundation,Metformin,2022-03-29 08:00:00,28
Notuv - Denk Pharma,2021-08-12 01:58:27,DMO_1001000,1676,Bill Gates Foundation,Metformin,2023-06-04 08:00:00,40
Notuv - Denk Pharma,2021-08-12 02:09:43,DMO_1001000,2484,WHO,Metformin,2021-12-14 08:00:00,1
Notuv - Denk Pharma,2021-08-12 06:43:04,DMO_1001000,1079,Bill Gates Foundation,Metformin,2023-04-25 08:00:00,11
Notuv - Denk Pharma,2021-08-12 08:57:10,DMO_1001000,2488,Bill Gates Foundation,Metformin,2022-06-29 08:00:00,17
Notuv - Denk Pharma,2021-08-12 18:35:25,DMO_1001000,2101,Red Cross,Metformin,2023-04-06 08:00:00,43
Notuv - Denk Pharma,2021-08-12 23:10:05,DMO_1001000,2685,Red Cross,Metformin,2023-06-18 08:00:00,16
Notuv - Denk Pharma,2021-08-13 00:23:44,DMO_1001000,2772,Red Cross,Metformin,2022-03-26 08:00:00,34
Notuv - Denk Pharma,2021-08-13 08:58:22,DMO_1001000,2091,Red Cross,Metformin,2022-06-10 08:00:00,18
Notuv - Denk Pharma,2021-08-14 02:48:36,DMO_1001000,2119,WHO,Metformin,2022-07-07 08:00:00,52
Notuv - Denk Pharma,2021-08-14 08:16:37,DMO_1001000,3545,Red Cross,Metformin,2022-07-13 08:00:00,43
Notuv - Denk Pharma,2021-08-15 02:13:47,DMO_1001000,1110,WHO,Metformin,2022-06-02 08:00:00,19
Notuv - Denk Pharma,2021-08-15 06:35:13,DMO_1001000,4590,Red Cross,Metformin,2023-03-08 08:00:00,27
Notuv - Denk Pharma,2021-08-15 14:42:09,DMO_1001000,2938,Bill Gates Foundation,Metformin,2022-11-02 08:00:00,18
Notuv - Denk Pharma,2021-08-15 19:14:34,DMO_1001000,1698,Bill Gates Foundation,Metformin,2023-05-09 08:00:00,42
Notuv - Denk Pharma,2021-08-15 20:33:32,DMO_1001000,2123,WHO,Metformin,2023-03-28 08:00:00,42
Notuv - Denk Pharma,2021-08-15 21:44:51,DMO_1001000,3188,Red Cross,Metformin,2022-09-12 08:00:00,36
Notuv - Denk Pharma,2021-08-16 19:17:51,DMO_1001000,2748,Bill Gates Foundation,Metformin,2021-12-17 08:00:00,18
Notuv - Denk Pharma,2021-08-16 20:51:34,DMO_1001000,3557,WHO,Metformin,2023-06-05 08:00:00,20
Notuv - Denk Pharma,2021-08-17 02:07:24,DMO_1001000,1287,WHO,Metformin,2021-11-21 08:00:00,29
